ewh_sample_id,sample_uuid_bin,sample_uuid,sample_friendly_name,labware_human_barcode
7019847,...,6aff29c4-7ddc-11ec-9182-fa163eac3af7,3429STDY11677527,DN906212B
7019848,...,6b06e25e-7ddc-11ec-9182-fa163eac3af7,3429STDY11677528,DN906212B
7019849,...,6b08e50e-7ddc-11ec-9182-fa163eac3af7,3429STDY11677529,DN906212B
7019850,...,6b0af060-7ddc-11ec-9182-fa163eac3af7,3429STDY11677530,DN906212B
7019851,...,6b0cf112-7ddc-11ec-9182-fa163eac3af7,3429STDY11677531,DN906212B
7019852,...,6b0f0b46-7ddc-11ec-9182-fa163eac3af7,3429STDY11677532,DN906212B
7019853,...,6b1122e6-7ddc-11ec-9182-fa163eac3af7,3429STDY11677533,DN906212B
7019854,...,6b134274-7ddc-11ec-9182-fa163eac3af7,3429STDY11677534,DN906212B
7019855,...,6b1558d4-7ddc-11ec-9182-fa163eac3af7,3429STDY11677535,DN906212B
7019856,...,6b176354-7ddc-11ec-9182-fa163eac3af7,3429STDY11677536,DN906212B
7019857,...,6b19713a-7ddc-11ec-9182-fa163eac3af7,3429STDY11677537,DN906212B
7019858,...,6b1b822c-7ddc-11ec-9182-fa163eac3af7,3429STDY11677538,DN906212B
7019859,...,6b21f012-7ddc-11ec-9182-fa163eac3af7,3429STDY11677539,DN906212B
7019860,...,6b242a58-7ddc-11ec-9182-fa163eac3af7,3429STDY11677540,DN906212B
7019861,...,6b264bee-7ddc-11ec-9182-fa163eac3af7,3429STDY11677541,DN906212B
7019862,...,6b2894e4-7ddc-11ec-9182-fa163eac3af7,3429STDY11677542,DN906212B
7019863,...,6b2addd0-7ddc-11ec-9182-fa163eac3af7,3429STDY11677543,DN906212B
7019864,...,6b2d11d6-7ddc-11ec-9182-fa163eac3af7,3429STDY11677544,DN906212B
7019865,...,6b2f62ec-7ddc-11ec-9182-fa163eac3af7,3429STDY11677545,DN906212B
7019866,...,6b3188e2-7ddc-11ec-9182-fa163eac3af7,3429STDY11677546,DN906212B
7019867,...,6b33aa32-7ddc-11ec-9182-fa163eac3af7,3429STDY11677547,DN906212B
7019868,...,6b35fc38-7ddc-11ec-9182-fa163eac3af7,3429STDY11677548,DN906212B
7019869,...,6b382fb2-7ddc-11ec-9182-fa163eac3af7,3429STDY11677549,DN906212B
7019870,...,6b3fa2b0-7ddc-11ec-9182-fa163eac3af7,3429STDY11677550,DN906212B
7019871,...,6b420eba-7ddc-11ec-9182-fa163eac3af7,3429STDY11677551,DN906212B
7019872,...,6b48a482-7ddc-11ec-9182-fa163eac3af7,3429STDY11677552,DN906212B
7019873,...,6b4ae31e-7ddc-11ec-9182-fa163eac3af7,3429STDY11677553,DN906212B
7019874,...,6b4d183c-7ddc-11ec-9182-fa163eac3af7,3429STDY11677554,DN906212B
7019875,...,6b4f357c-7ddc-11ec-9182-fa163eac3af7,3429STDY11677555,DN906212B
7019876,...,6b515898-7ddc-11ec-9182-fa163eac3af7,3429STDY11677556,DN906212B
7019877,...,6b537042-7ddc-11ec-9182-fa163eac3af7,3429STDY11677557,DN906212B
7019878,...,6b557e96-7ddc-11ec-9182-fa163eac3af7,3429STDY11677558,DN906212B
7019879,...,6b58a9e0-7ddc-11ec-9182-fa163eac3af7,3429STDY11677559,DN906212B
7019880,...,6b5aa43e-7ddc-11ec-9182-fa163eac3af7,3429STDY11677560,DN906212B
7019881,...,6b5d4ac2-7ddc-11ec-9182-fa163eac3af7,3429STDY11677561,DN906212B
7019882,...,6b5f7766-7ddc-11ec-9182-fa163eac3af7,3429STDY11677562,DN906212B
7019883,...,6b618c9a-7ddc-11ec-9182-fa163eac3af7,3429STDY11677563,DN906212B
7019884,...,6b63bfd8-7ddc-11ec-9182-fa163eac3af7,3429STDY11677564,DN906212B
7019885,...,6b65cbc0-7ddc-11ec-9182-fa163eac3af7,3429STDY11677565,DN906212B
7019886,...,6b67ecb6-7ddc-11ec-9182-fa163eac3af7,3429STDY11677566,DN906212B
7019887,...,6b6a1482-7ddc-11ec-9182-fa163eac3af7,3429STDY11677567,DN906212B
7019888,...,6b6c6188-7ddc-11ec-9182-fa163eac3af7,3429STDY11677568,DN906212B
7019889,...,6b6ea4b6-7ddc-11ec-9182-fa163eac3af7,3429STDY11677569,DN906212B
7019890,...,6b70c32c-7ddc-11ec-9182-fa163eac3af7,3429STDY11677570,DN906212B
7019891,...,6b72e616-7ddc-11ec-9182-fa163eac3af7,3429STDY11677571,DN906212B
7019892,...,6b750612-7ddc-11ec-9182-fa163eac3af7,3429STDY11677572,DN906212B
7019893,...,6b772712-7ddc-11ec-9182-fa163eac3af7,3429STDY11677573,DN906212B
7019894,...,6b793598-7ddc-11ec-9182-fa163eac3af7,3429STDY11677574,DN906212B
7019895,...,6b7b44b4-7ddc-11ec-9182-fa163eac3af7,3429STDY11677575,DN906212B
7019896,...,6b7d55f6-7ddc-11ec-9182-fa163eac3af7,3429STDY11677576,DN906212B
7019897,...,6b7f69ea-7ddc-11ec-9182-fa163eac3af7,3429STDY11677577,DN906212B
7019898,...,6b8328aa-7ddc-11ec-9182-fa163eac3af7,3429STDY11677578,DN906212B
7019899,...,6b853906-7ddc-11ec-9182-fa163eac3af7,3429STDY11677579,DN906212B
7019900,...,6b87394a-7ddc-11ec-9182-fa163eac3af7,3429STDY11677580,DN906212B
7019901,...,6b8937a4-7ddc-11ec-9182-fa163eac3af7,3429STDY11677581,DN906212B
7019902,...,6b8b4fc6-7ddc-11ec-9182-fa163eac3af7,3429STDY11677582,DN906212B
7019903,...,6b8d5c30-7ddc-11ec-9182-fa163eac3af7,3429STDY11677583,DN906212B
7019904,...,6b8f68f4-7ddc-11ec-9182-fa163eac3af7,3429STDY11677584,DN906212B
