ewh_sample_id,sample_uuid_bin,sample_uuid,sample_friendly_name,study_friendly_names,studies_set_up
7019847,...,6aff29c4-7ddc-11ec-9182-fa163eac3af7,3429STDY11677527,"Team 112 R&D","2014-12-05 12:01:32"
7019848,...,6b06e25e-7ddc-11ec-9182-fa163eac3af7,3429STDY11677528,"Team 112 R&D","2014-12-05 12:01:32"
7019849,...,6b08e50e-7ddc-11ec-9182-fa163eac3af7,3429STDY11677529,"Team 112 R&D","2014-12-05 12:01:32"
7019850,...,6b0af060-7ddc-11ec-9182-fa163eac3af7,3429STDY11677530,"Team 112 R&D","2014-12-05 12:01:32"
7019851,...,6b0cf112-7ddc-11ec-9182-fa163eac3af7,3429STDY11677531,"Team 112 R&D","2014-12-05 12:01:32"
7019852,...,6b0f0b46-7ddc-11ec-9182-fa163eac3af7,3429STDY11677532,"Team 112 R&D","2014-12-05 12:01:32"
7019853,...,6b1122e6-7ddc-11ec-9182-fa163eac3af7,3429STDY11677533,"Team 112 R&D","2014-12-05 12:01:32"
7019854,...,6b134274-7ddc-11ec-9182-fa163eac3af7,3429STDY11677534,"Team 112 R&D","2014-12-05 12:01:32"
7019855,...,6b1558d4-7ddc-11ec-9182-fa163eac3af7,3429STDY11677535,"Team 112 R&D","2014-12-05 12:01:32"
7019856,...,6b176354-7ddc-11ec-9182-fa163eac3af7,3429STDY11677536,"Team 112 R&D","2014-12-05 12:01:32"
7019857,...,6b19713a-7ddc-11ec-9182-fa163eac3af7,3429STDY11677537,"Team 112 R&D","2014-12-05 12:01:32"
7019858,...,6b1b822c-7ddc-11ec-9182-fa163eac3af7,3429STDY11677538,"Team 112 R&D","2014-12-05 12:01:32"
7019859,...,6b21f012-7ddc-11ec-9182-fa163eac3af7,3429STDY11677539,"Team 112 R&D","2014-12-05 12:01:32"
7019860,...,6b242a58-7ddc-11ec-9182-fa163eac3af7,3429STDY11677540,"Team 112 R&D","2014-12-05 12:01:32"
7019861,...,6b264bee-7ddc-11ec-9182-fa163eac3af7,3429STDY11677541,"Team 112 R&D","2014-12-05 12:01:32"
7019862,...,6b2894e4-7ddc-11ec-9182-fa163eac3af7,3429STDY11677542,"Team 112 R&D","2014-12-05 12:01:32"
7019863,...,6b2addd0-7ddc-11ec-9182-fa163eac3af7,3429STDY11677543,"Team 112 R&D","2014-12-05 12:01:32"
7019864,...,6b2d11d6-7ddc-11ec-9182-fa163eac3af7,3429STDY11677544,"Team 112 R&D","2014-12-05 12:01:32"
7019865,...,6b2f62ec-7ddc-11ec-9182-fa163eac3af7,3429STDY11677545,"Team 112 R&D","2014-12-05 12:01:32"
7019866,...,6b3188e2-7ddc-11ec-9182-fa163eac3af7,3429STDY11677546,"Team 112 R&D","2014-12-05 12:01:32"
7019867,...,6b33aa32-7ddc-11ec-9182-fa163eac3af7,3429STDY11677547,"Team 112 R&D","2014-12-05 12:01:32"
7019868,...,6b35fc38-7ddc-11ec-9182-fa163eac3af7,3429STDY11677548,"Team 112 R&D","2014-12-05 12:01:32"
7019869,...,6b382fb2-7ddc-11ec-9182-fa163eac3af7,3429STDY11677549,"Team 112 R&D","2014-12-05 12:01:32"
7019870,...,6b3fa2b0-7ddc-11ec-9182-fa163eac3af7,3429STDY11677550,"Team 112 R&D","2014-12-05 12:01:32"
7019871,...,6b420eba-7ddc-11ec-9182-fa163eac3af7,3429STDY11677551,"Team 112 R&D","2014-12-05 12:01:32"
7019872,...,6b48a482-7ddc-11ec-9182-fa163eac3af7,3429STDY11677552,"Team 112 R&D","2014-12-05 12:01:32"
7019873,...,6b4ae31e-7ddc-11ec-9182-fa163eac3af7,3429STDY11677553,"Team 112 R&D","2014-12-05 12:01:32"
7019874,...,6b4d183c-7ddc-11ec-9182-fa163eac3af7,3429STDY11677554,"Team 112 R&D","2014-12-05 12:01:32"
7019875,...,6b4f357c-7ddc-11ec-9182-fa163eac3af7,3429STDY11677555,"Team 112 R&D","2014-12-05 12:01:32"
7019876,...,6b515898-7ddc-11ec-9182-fa163eac3af7,3429STDY11677556,"Team 112 R&D","2014-12-05 12:01:32"
7019877,...,6b537042-7ddc-11ec-9182-fa163eac3af7,3429STDY11677557,"Team 112 R&D","2014-12-05 12:01:32"
7019878,...,6b557e96-7ddc-11ec-9182-fa163eac3af7,3429STDY11677558,"Team 112 R&D","2014-12-05 12:01:32"
7019879,...,6b58a9e0-7ddc-11ec-9182-fa163eac3af7,3429STDY11677559,"Team 112 R&D","2014-12-05 12:01:32"
7019880,...,6b5aa43e-7ddc-11ec-9182-fa163eac3af7,3429STDY11677560,"Team 112 R&D","2014-12-05 12:01:32"
7019881,...,6b5d4ac2-7ddc-11ec-9182-fa163eac3af7,3429STDY11677561,"Team 112 R&D","2014-12-05 12:01:32"
7019882,...,6b5f7766-7ddc-11ec-9182-fa163eac3af7,3429STDY11677562,"Team 112 R&D","2014-12-05 12:01:32"
7019883,...,6b618c9a-7ddc-11ec-9182-fa163eac3af7,3429STDY11677563,"Team 112 R&D","2014-12-05 12:01:32"
7019884,...,6b63bfd8-7ddc-11ec-9182-fa163eac3af7,3429STDY11677564,"Team 112 R&D","2014-12-05 12:01:32"
7019885,...,6b65cbc0-7ddc-11ec-9182-fa163eac3af7,3429STDY11677565,"Team 112 R&D","2014-12-05 12:01:32"
7019886,...,6b67ecb6-7ddc-11ec-9182-fa163eac3af7,3429STDY11677566,"Team 112 R&D","2014-12-05 12:01:32"
7019887,...,6b6a1482-7ddc-11ec-9182-fa163eac3af7,3429STDY11677567,"Team 112 R&D","2014-12-05 12:01:32"
7019888,...,6b6c6188-7ddc-11ec-9182-fa163eac3af7,3429STDY11677568,"Team 112 R&D","2014-12-05 12:01:32"
7019889,...,6b6ea4b6-7ddc-11ec-9182-fa163eac3af7,3429STDY11677569,"Team 112 R&D","2014-12-05 12:01:32"
7019890,...,6b70c32c-7ddc-11ec-9182-fa163eac3af7,3429STDY11677570,"Team 112 R&D","2014-12-05 12:01:32"
7019891,...,6b72e616-7ddc-11ec-9182-fa163eac3af7,3429STDY11677571,"Team 112 R&D","2014-12-05 12:01:32"
7019892,...,6b750612-7ddc-11ec-9182-fa163eac3af7,3429STDY11677572,"Team 112 R&D","2014-12-05 12:01:32"
7019893,...,6b772712-7ddc-11ec-9182-fa163eac3af7,3429STDY11677573,"Team 112 R&D","2014-12-05 12:01:32"
